base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
2hop_rate_distance_0031,baseline,2,wrong_operator,False,False,0.999989796452823,0.5006510248777636,True,0
2hop_rate_distance_0031,reprompt,2,wrong_operator,False,False,0.999989796452823,0.5006510248777636,True,1
2hop_rate_distance_0031,replace_prior,2,wrong_operator,False,False,0.0017868644004108,0.0015495588515574,False,1
2hop_rate_distance_0031,branch_and_pick,2,wrong_operator,False,False,0.9999982626791608,0.5006552579909325,True,1
2hop_percentage_0009,baseline,2,wrong_percentage_base,False,False,0.9797445071387586,0.6386616444609804,True,0
2hop_percentage_0009,reprompt,2,wrong_percentage_base,False,False,0.9797445071387586,0.6386616444609804,True,1
2hop_percentage_0009,replace_prior,2,wrong_percentage_base,False,False,0.8262163567326476,0.5618975692579249,False,1
2hop_percentage_0009,branch_and_pick,2,wrong_percentage_base,False,False,0.9718109288481472,0.6346948553156748,True,1
3hop_compound_rate_0012,baseline,3,wrong_unit,False,False,0.9998657943411527,0.6670310480731233,True,0
3hop_compound_rate_0012,reprompt,3,wrong_unit,False,False,0.9998657943411527,0.6670310480731233,True,2
3hop_compound_rate_0012,replace_prior,3,wrong_unit,False,False,0.0240830162848773,0.0134274268545643,False,1
3hop_compound_rate_0012,branch_and_pick,3,wrong_unit,False,False,0.999719930284402,0.6669908958463079,True,2
2hop_counting_0009,baseline,2,wrong_percentage_base,False,False,0.999041191415906,0.5067094740020319,True,0
2hop_counting_0009,reprompt,2,wrong_percentage_base,False,False,0.999041191415906,0.5067094740020319,True,1
2hop_counting_0009,replace_prior,2,wrong_percentage_base,False,False,0.1188574419492861,0.0666175992687219,False,1
2hop_counting_0009,branch_and_pick,2,wrong_percentage_base,False,False,0.9998555276995502,0.507116642143854,True,1
2hop_percentage_0025,baseline,2,off_by_one,False,False,0.9999999693571708,0.6233753133149759,True,0
2hop_percentage_0025,reprompt,2,off_by_one,False,False,0.9999999693571708,0.6233753133149759,True,1
2hop_percentage_0025,replace_prior,2,off_by_one,False,False,0.921602207673722,0.5841764324732515,False,1
2hop_percentage_0025,branch_and_pick,2,off_by_one,False,False,0.9999999438469616,0.6233753005598712,True,1
4hop_nested_fractions_0000,baseline,4,off_by_one,True,False,0.9999991405192588,0.7778898902716335,True,0
4hop_nested_fractions_0000,reprompt,4,off_by_one,False,False,0.9999991405192588,0.7778898902716335,True,3
4hop_nested_fractions_0000,replace_prior,4,off_by_one,True,False,0.114617245188702,0.0328137783293931,False,1
4hop_nested_fractions_0000,branch_and_pick,4,off_by_one,False,False,0.9999980617491396,0.7772329676939317,True,3
3hop_compound_rate_0030,baseline,3,off_by_one,False,False,0.9998807449000402,0.678647105737746,True,0
3hop_compound_rate_0030,reprompt,3,off_by_one,False,False,0.9998807449000402,0.678647105737746,True,2
3hop_compound_rate_0030,replace_prior,3,off_by_one,False,False,0.6010621324339871,0.2688748397835611,False,1
3hop_compound_rate_0030,branch_and_pick,3,off_by_one,False,False,0.9996071233054185,0.6784819356052573,True,2
2hop_fractions_0027,baseline,2,wrong_unit,False,False,0.9999994983604922,0.5002811498552477,True,0
2hop_fractions_0027,reprompt,2,wrong_unit,False,False,0.9999994983604922,0.5002811498552477,True,1
2hop_fractions_0027,replace_prior,2,wrong_unit,False,True,0.0011327608742351,0.0008477811121191,False,1
2hop_fractions_0027,branch_and_pick,2,wrong_unit,False,False,0.9999999928935824,0.5002813971217928,True,1
3hop_percentage_chain_0038,baseline,3,magnitude_error,False,True,0.9999999994238932,0.6667767924063606,True,0
3hop_percentage_chain_0038,reprompt,3,magnitude_error,False,False,0.9999999994238932,0.6667767924063606,True,2
3hop_percentage_chain_0038,replace_prior,3,magnitude_error,False,False,0.079779395781978,0.0420817947986401,False,1
3hop_percentage_chain_0038,branch_and_pick,3,magnitude_error,False,True,0.9999999997862824,0.6667804302117203,True,2
3hop_multi_stage_geometry_0035,baseline,3,off_by_one,False,False,0.9995902434347472,0.7403871901333944,True,0
3hop_multi_stage_geometry_0035,reprompt,3,off_by_one,False,False,0.9995902434347472,0.7403871901333944,True,2
3hop_multi_stage_geometry_0035,replace_prior,3,off_by_one,False,False,0.7692211806635632,0.4242277992046568,False,1
3hop_multi_stage_geometry_0035,branch_and_pick,3,off_by_one,False,False,0.9999937540703494,0.7404282660760769,True,2
3hop_percentage_chain_0019,baseline,3,wrong_percentage_base,False,True,0.9999998507410044,0.6667479041165579,True,0
3hop_percentage_chain_0019,reprompt,3,wrong_percentage_base,False,False,0.9999998507410044,0.6667479041165579,True,2
3hop_percentage_chain_0019,replace_prior,3,wrong_percentage_base,False,False,0.014259712480286,0.0083726376418658,False,1
