layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
37,last,0.9867226890756301,0.01174548249388651,0.9534690799396681,0.03409598927442877
38,last,0.984695996045477,0.012969599545672627,0.9535444947209653,0.02644619073071668
39,last,0.9867128027681661,0.011927427408433689,0.9573906485671191,0.028636771016315007
40,last,0.9853386060306477,0.013794272374936124,0.9573906485671191,0.028636771016315007
41,last,0.9826198714780029,0.015778298933727845,0.9573906485671191,0.028636771016315007
42,last,0.9796045477014335,0.01873400745505561,0.9573906485671191,0.028636771016315007
43,last,0.979940682155215,0.01756795445510571,0.9535444947209653,0.03154772562850013
44,last,0.9782600098863075,0.01955606578636275,0.9496229260935143,0.03616026700915485
45,last,0.9782698961937715,0.019701046948627288,0.9457767722473605,0.03772277212677001
46,last,0.978961937716263,0.019168772611140326,0.9457767722473605,0.03772277212677001
47,last,0.9843697478991598,0.01515962660003993,0.9457013574660633,0.031208418848504584
48,last,0.9836870434448288,0.01415042839835092,0.9380090497737557,0.025906486724961156
0,mean,0.8971878947657494,0.04701468496463875,0.7636500754147812,0.05351867752246656
1,mean,0.9100367990333387,0.04063445444994614,0.8022624434389141,0.054115347573773655
2,mean,0.9114033064206074,0.03958472887453548,0.806108597285068,0.0429648539455834
3,mean,0.9144570769484265,0.04009744418133704,0.8177224736048266,0.0586015069788254
4,mean,0.9222403471192399,0.03605413582477135,0.848868778280543,0.02247233944224258
5,mean,0.9262778052397429,0.03167157869234624,0.8447963800904977,0.04305292414030034
6,mean,0.9207140110946339,0.036567644637391844,0.8332579185520362,0.05972850678733034
7,mean,0.9233761739990115,0.03638309035443353,0.83710407239819,0.06601960024497398
8,mean,0.9122211237436151,0.033256797873065305,0.8139517345399699,0.043297280412328255
9,mean,0.922560553633218,0.024892607113662108,0.8332579185520362,0.029588554797030115
10,mean,0.9305761520294391,0.02709981922072903,0.8605580693815987,0.02528071751833089
11,mean,0.9320744768495632,0.026884531408388895,0.8565610859728506,0.03626392510426387
12,mean,0.9431822925248531,0.017101638856012666,0.8680995475113121,0.029058089335750818
13,mean,0.9459795682979074,0.0188191286366525,0.8759426847662141,0.019781111687185517
14,mean,0.9491503267973856,0.019608681409284828,0.883785822021116,0.02074441176103071
15,mean,0.9560795298511561,0.018517362985778895,0.895475113122172,0.028408859224590043
16,mean,0.9540687647608064,0.02251927866979835,0.891553544494721,0.02271550298838592
17,mean,0.9542231010051079,0.019004919810297345,0.8914781297134239,0.019593915461906475
18,mean,0.9609781951996486,0.013203151223427727,0.8953242835595777,0.02005040637204027
19,mean,0.9707030263085625,0.01011908011257993,0.9109351432880846,0.0194189766991627
20,mean,0.9744131378041413,0.010672475573421004,0.9110105580693816,0.01908306927397153
21,mean,0.9824918987202723,0.009830234298457363,0.9303921568627451,0.019244220889081665
22,mean,0.9827604767397154,0.013565730216259996,0.926395173453997,0.019040402821187935
23,mean,0.9841072115120559,0.010891216022025633,0.934238310708899,0.03125176161916367
24,mean,0.9847602570439941,0.011868136375684527,0.9420814479638009,0.03218241297032359
25,mean,0.9871247322458394,0.009853670520740888,0.9497737556561086,0.02615642943919047
26,mean,0.9878057889822596,0.009757410458641258,0.9536199095022624,0.023194183495682003
